province_eng,net_trans,child_gender
Anhui,793.4090909090909,1.0
Chongqing,810.8108108108108,1.0
Fujian,785.5497382198953,1.0
Gansu,293.70394736842104,1.0
Guangdong,678.3520599250936,1.0
Guangxi,544.4370860927153,1.0
Guizhou,731.25,1.0
Hebei,725.3333333333334,1.0
Heilongjiang,1014.3333333333334,1.0
Henan,832.2368421052631,1.0
Hubei,808.5585585585585,1.0
Hunan,896.9198312236286,1.0
Jiangsu,826.9387755102041,1.0
Jiangxi,656.4893617021277,1.0
Jilin,807.9545454545455,1.0
Liaoning,799.0196078431372,1.0
Neimenggu,916.4423076923077,1.0
Qinghai,478.40909090909093,1.0
Shaanxi,701.875,1.0
Shandong,706.2277580071175,1.0
Shanghai,2000.0,1.0
Shanxi,617.1428571428571,1.0
Sichuan,780.0301204819277,1.0
Tianjin,1385.7142857142858,1.0
Xinjiang,906.6666666666666,1.0
Yunnan,563.673640167364,1.0
Zhejiang,925.5737704918033,1.0
